#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
     232   0.88471842   0.46612582   0.86017138   0.51000512  -0.05028403
     233   0.70745206   0.70676130   0.67248929   0.74010682  -0.04831949
     234   0.46698982   0.88426268   0.42544734   0.90498316  -0.04642739
     235   0.18481192   0.98277390   0.14086747   0.99002844  -0.04454292
     236  -0.11387501   0.99349511  -0.15616967   0.98773026  -0.04268897
     237  -0.40238962   0.91546851  -0.43944752   0.89826828  -0.04085789
     238  -0.65495926   0.75566423  -0.68397206   0.72950822  -0.03906498
     239  -0.84902209   0.52835733  -0.86813980   0.49631974  -0.03731025
     240  -0.96724284   0.25385287  -0.97565383   0.21931633  -0.03554786
     241  -0.99906093  -0.04332794  -0.99702334  -0.07709997  -0.03383506
     242  -0.94163406  -0.33663830  -0.93034071  -0.36669621  -0.03211084
     243  -0.80009210  -0.59987718  -0.78141642  -0.62400991  -0.03051626
     244  -0.58707887  -0.80952972  -0.56342363  -0.82616818  -0.02892173
     245  -0.32162258  -0.94686794  -0.29555395  -0.95532602  -0.02740729
     246  -0.02743612  -0.99962354  -0.00147041  -0.99999893  -0.02596916
     247   0.26920116  -0.96308398   0.29265568  -0.95621789  -0.02443947
     248   0.54179102  -0.84051323   0.56102943  -0.82779586  -0.02306234
     249   0.76598334  -0.64286041   0.77976185  -0.62607622  -0.02171580
     250   0.92175126  -0.38778165   0.92942876  -0.36900163  -0.02028911
     251   0.99518025  -0.09806278   0.99686611  -0.07910767  -0.01903021
     252   0.97971094   0.20041591   0.97594655   0.21801008  -0.01799262
     253   0.87672514   0.48099166   0.86844242   0.49579003  -0.01695884
     254   0.69542259   0.71860099   0.68392730   0.72955018  -0.01587550
     255   0.45199874   0.89201856   0.43875152   0.89860845  -0.01479593
     256   0.16819836   0.98575318   0.15471102   0.98795974  -0.01366674
     257  -0.13062698   0.99143159  -0.14305411   0.98971486  -0.01254524
     258  -0.41778356   0.90854657  -0.42808679   0.90373760  -0.01137031
     259  -0.66762000   0.74450219  -0.67536139   0.73748696  -0.01044719
     260  -0.85781878   0.51395226  -0.86274028   0.50564736  -0.00965363
     261  -0.97138959   0.23749162  -0.97346437   0.22883853  -0.00889839
     262  -0.99818730  -0.06018389  -0.99766988  -0.06822639  -0.00805915
     263  -0.93581814  -0.35248324  -0.93321872  -0.35930884  -0.00730384
     264  -0.78985339  -0.61329567  -0.78582978  -0.61844289  -0.00653328
