# index  real(x)      imag(x)      real(y)      imag(y)      error        
   188   0.93891506   0.34414897   0.89662800   0.44278464  -0.10736974
   189   0.79527684   0.60624644   0.72481836   0.68894002  -0.10869339
   190   0.58059891   0.81418972   0.48791641   0.87289036  -0.10976293
   191   0.31405781   0.94940386   0.20735763   0.97826521  -0.11059099
   192   0.01946286   0.99981058  -0.09159719   0.99579614  -0.11118986
   193  -0.27687065   0.96090720  -0.38213675   0.92410579  -0.11157152
   194  -0.54847213   0.83616884  -0.63829669   0.76979045  -0.11174763
   195  -0.77108022   0.63673801  -0.83726686   0.54679448  -0.11172954
   196  -0.92481002   0.38042927  -0.96140504   0.27513696  -0.11152826
   197  -0.99592929   0.09013791  -0.99978173  -0.02089255  -0.11115449
   198  -0.97808517  -0.20820520  -0.94912268  -0.31490655  -0.11061861
   199  -0.87287161  -0.48794995  -0.81407001  -0.58076675  -0.10993067
   200  -0.68968703  -0.72410759  -0.60674266  -0.79489833  -0.10910041
   201  -0.44489476  -0.89558286  -0.34563884  -0.93836762  -0.10813725
   202  -0.16036136  -0.98705837  -0.05398019  -0.99854201  -0.10705030
   203   0.13849663  -0.99036290   0.24235416  -0.97018785  -0.10584836
   204   0.42498314  -0.90520127   0.51712041  -0.85591266  -0.10453992
   205   0.67350716  -0.73918070   0.74602744  -0.66591521  -0.10313315
   206   0.86186880  -0.50713132   0.90887522  -0.41706815  -0.10163595
   207   0.97324226  -0.22978140   0.99132732  -0.13141595  -0.10005589
   208   0.99767890   0.06809419   0.98616304   0.16577832  -0.09840027
   209   0.93299584   0.35988714   0.89390091   0.44826462  -0.09667610
   210   0.78497105   0.61953244   0.72274040   0.69111961  -0.09489010
   211   0.56682713   0.82383676   0.48782871   0.87293937  -0.09304871
   212   0.29805023   0.95455019   0.20991821   0.97771895  -0.09115810
   213   0.00264940   0.99999649  -0.08646666   0.99625474  -0.08922417
   214  -0.29298811   0.95611609  -0.37519132   0.92694740  -0.08725256
   215  -0.56245385   0.82682868  -0.63081201   0.77593570  -0.08524866
   216  -0.78167727   0.62368313  -0.83081373   0.55655057  -0.08321759
   217  -0.93107579   0.36482582  -0.95758899   0.28813769  -0.08116425
   218  -0.99730407   0.07337971  -0.99998405  -0.00564752  -0.07909327
   219  -0.97444616  -0.22462119  -0.95427738  -0.29892252  -0.07700908
   220  -0.86454387  -0.50255735  -0.82450463  -0.56585521  -0.07491585
   221  -0.67741446  -0.73560156  -0.62210192  -0.78293627  -0.07281754
   222  -0.42977362  -0.90293667  -0.36489883  -0.93104717  -0.07071791
   223  -0.14374239  -0.98961514  -0.07554951  -0.99714205  -0.06862049
   224   0.15512892  -0.98789423   0.22046050  -0.97539590  -0.06652861
   225   0.44014302  -0.89792768   0.49705661  -0.86771812  -0.06444541
   226   0.68584046  -0.72775192   0.72987002  -0.68358596  -0.06237383
   227   0.87027382  -0.49256825   0.89838328  -0.43921235  -0.06031664
   228   0.97696821  -0.21338492   0.98773798  -0.15612072  -0.05827639
   229   0.99639293   0.08485944   0.99004542   0.14074824  -0.05625552
   230   0.92681285   0.37552357   0.90508453   0.42523169  -0.05425624
   231   0.77444333   0.63264329   0.74032526   0.67224884  -0.05228063
   232   0.55289509   0.83325087   0.51027463   0.86001151  -0.05033061
   233   0.28195839   0.95942663   0.23520235   0.97194643  -0.04840795
   234  -0.01416482   0.99989967  -0.06064234   0.99815956  -0.04651427
   235  -0.30902273   0.95105465  -0.35116621   0.93631314  -0.04465106
   236  -0.57627656   0.81725475  -0.61073220   0.79183722  -0.04281965
   237  -0.79205332   0.61045192  -0.81642149   0.57745645  -0.04102127
   238  -0.93707831   0.34911923  -0.95005819   0.31207280  -0.03925702
   239  -0.99839689   0.05660077  -0.99981754   0.01910200  -0.03752787
   240  -0.97053165  -0.24097368  -0.96127521  -0.27559023  -0.03583469
   241  -0.85597171  -0.51702266  -0.83780433  -0.54597061  -0.03417823
   242  -0.66495036  -0.74688755  -0.64028421  -0.76813809  -0.03255915
   243  -0.41453098  -0.91003520  -0.38614553  -0.92243787  -0.03097800
   244  -0.12708278  -0.99189211  -0.09783536  -0.99520261  -0.02943525
   245   0.17171734  -0.98514626   0.19916316  -0.97996634  -0.02793126
   246   0.45517847  -0.89040023   0.47858192  -0.87804290  -0.02646632
   247   0.69797986  -0.71611739   0.71569120  -0.69841686  -0.02504063
   248   0.87843279  -0.47786592   0.88948959  -0.45695543  -0.02365433
   249   0.98041793  -0.19692811   0.98456661  -0.17501028  -0.02230748
   250   0.99482526   0.10160070   0.99247245   0.12246814  -0.02100005
   251   0.92036781   0.39105382   0.91247288   0.40913719  -0.01973198
   252   0.76369665   0.64557527   0.75162144   0.65959473  -0.01850313
   253   0.53880674   0.84242940   0.52414148   0.85163120  -0.01731330
   254   0.26578683   0.96403183   0.25017186   0.96820145  -0.01616225
   255  -0.03097503   0.99952016  -0.04601343   0.99894082  -0.01504969
   256  -0.32496998   0.94572433  -0.33815457   0.94109058  -0.01397527
   257  -0.58993633   0.80744977  -0.60033393   0.79974944  -0.01293860
   258  -0.80220543   0.59704812  -0.80927639   0.58742806  -0.01193925
   259  -0.94281590   0.33331394  -0.94641774   0.32294499  -0.01097677
   260  -0.99920743   0.03980582  -0.99955703   0.02976129  -0.01005065
   261  -0.96634275  -0.25725803  -0.96394566  -0.26609917  -0.00916037
   262  -0.84715754  -0.53134180  -0.84271539  -0.53835933  -0.00830535
   263  -0.65229827  -0.75796238  -0.64660669  -0.76282357  -0.00748502
   264  -0.39917114  -0.91687644  -0.39302029  -0.91952980  -0.00669877
   265  -0.11038724  -0.99388865  -0.10447570  -0.99452744  -0.00594596
   266   0.18825722  -0.98211976   0.19338713  -0.98112253  -0.00522595
   267   0.47008522  -0.88262103   0.47408576  -0.88047867  -0.00453806
   268   0.70992192  -0.70428039   0.71265031  -0.70151945  -0.00388161
   269   0.88634340  -0.46302849   0.88784628  -0.46014018  -0.00325591
   270   0.98359046  -0.18041562   0.98406693  -0.17779840  -0.00266024
   271   0.99297632   0.11831323   0.99272641   0.12039215  -0.00209389
   272   0.91366257   0.40647351   0.91302893   0.40789481  -0.00155614
   273   0.75273405   0.65832473   0.75204487   0.65911191  -0.00104625
   274   0.52456605   0.85136976   0.52408623   0.85166520  -0.00056348
   275   0.24954012   0.96836446   0.24943640   0.96839118  -0.00010710
   276  -0.04777649   0.99885805  -0.04745322   0.99887346   0.00032363
   277  -0.34082536   0.94012663  -0.34013949   0.94037499   0.00072946
   278  -0.60342932   0.79741649  -0.60254292   0.79808648   0.00111112
   279  -0.81213073   0.58347552  -0.81127253   0.58466819   0.00146935
   280  -0.94828693   0.31741441  -0.94771248   0.31912544   0.00180489
   281  -0.99973547   0.02299962  -0.99968451   0.02511747   0.00211847
   282  -0.96188063  -0.27346966  -0.96253712  -0.27114996   0.00241081
   283  -0.83810385  -0.54551071  -0.83956424  -0.54326042   0.00268263
   284  -0.63946176  -0.76882291  -0.64171523  -0.76694300   0.00293466
   285  -0.38369844  -0.92345845  -0.38662164  -0.92223842   0.00316758
   286  -0.09366049  -0.99560419  -0.09702718  -0.99528173   0.00338210
   287   0.20474387  -0.97881558   0.20123948  -0.97954207   0.00357891
   288   0.48485907  -0.87459229   0.48156835  -0.87640854   0.00375868
   289   0.72166326  -0.69224428   0.71894268  -0.69506936   0.00392208
   290   0.89400342  -0.44806014   0.89217252  -0.45169481   0.00406977
   291   0.98648491  -0.16385213   0.98578763  -0.16799626   0.00420239
   292   0.99084665   0.13499231   0.99142064   0.13071003   0.00432058
   293   0.90669900   0.42177828   0.90855647   0.41776206   0.00442496
   294   0.74155864   0.67088806   0.74458088   0.66753225   0.00451613
   295   0.51017704   0.86006941   0.51412341   0.85771622   0.00459470
   296   0.23322286   0.97242331   0.23775302   0.97132564   0.00466125
   297  -0.06456443   0.99791354  -0.05985722   0.99820695   0.00471635
   298  -0.35658437   0.93426312  -0.35213273   0.93595007   0.00476056
   299  -0.61675169   0.78715777  -0.61297066   0.79010567   0.00479442
   300  -0.82182642   0.56973795  -0.81907164   0.57369125   0.00481845
   301  -0.95348985   0.30142514  -0.95202187   0.30602999   0.00483318
   302  -0.99998086   0.00618691  -0.99993921   0.01102584   0.00483911
   303  -0.95714656  -0.28960397  -0.95853610  -0.28497114   0.00483673
   304  -0.82881321  -0.55952539  -0.83150410  -0.55551861   0.00482650
   305  -0.62644445  -0.77946607  -0.63018556  -0.77644456   0.00480890
   306  -0.36811727  -0.92977937  -0.37256144  -0.92800753   0.00478436
   307  -0.07690726  -0.99703825  -0.08164563  -0.99666142   0.00475333
   308   0.22117263  -0.97523467   0.21657078  -0.97626692   0.00471621
   309   0.49949584  -0.86631629   0.49544174  -0.86864117   0.00467342
   310   0.73320057  -0.68001244   0.73004745  -0.68339646   0.00462534
   311   0.90141068  -0.43296512   0.89942159  -0.43708215   0.00457236
   312   0.98910045  -0.14724231   0.98842560  -0.15170642   0.00451484
   313   0.98843683   0.15163322   0.98910227   0.14723010   0.00445313
   314   0.89947909   0.43696381   0.90138763   0.43301309   0.00438757
   315   0.73017356   0.68326171   0.73311740   0.68010211   0.00431848
   316   0.49564380   0.86852589   0.49932725   0.86641347   0.00424619
   317   0.21683966   0.97620723   0.22090950   0.97529431   0.00417098
   318  -0.08133412   0.99668689  -0.07725386   0.99701145   0.00409315
   319  -0.37224257   0.92813548  -0.36851500   0.92962180   0.00401298
   320  -0.62989970   0.77667649  -0.62684194   0.77914645   0.00393073
   321  -0.83128976   0.55583930  -0.82914550   0.55903286   0.00384665
   322  -0.95842319   0.28535064  -0.95734321   0.28895323   0.00376099
   323  -0.99994353  -0.01062754  -0.99997582  -0.00695371   0.00367397
   324  -0.95214189  -0.30565639  -0.95323179  -0.30224023   0.00358582
   325  -0.81928825  -0.57338187  -0.82128820  -0.57051353   0.00349674
   326  -0.61325003  -0.78988886  -0.61593757  -0.78779497   0.00340694
   327  -0.35243201  -0.93583742  -0.35553387  -0.93466340   0.00331661
   328  -0.06013229  -0.99819042  -0.06335205  -0.99799124   0.00322591
   329   0.23753887  -0.97137803   0.23449240  -0.97211795   0.00313504
   330   0.51399138  -0.85779535   0.51137777  -0.85935603   0.00304413
   331   0.74453058  -0.66758835   0.74255572  -0.66978430   0.00295335
   332   0.90856308  -0.41774768   0.90736342  -0.42034703   0.00286283
   333   0.99143635  -0.13059085   0.99107044  -0.13333933   0.00277272
   334   0.98574755   0.16823127   0.98619539   0.16558577   0.00268314
   335   0.89200487   0.45202579   0.89317451   0.44971023   0.00259420
   336   0.71858205   0.69544219   0.72032258   0.69363923   0.00250601
   337   0.48097043   0.87673682   0.48308957   0.87557094   0.00241869
   338   0.20039516   0.97971515   0.20267961   0.97924510   0.00233232
   339  -0.09808082   0.99517845  -0.09584442   0.99539633   0.00224699
   340  -0.38779553   0.92174542  -0.38580109   0.92258198   0.00216278
   341  -0.64286962   0.76597562  -0.64127517   0.76731099   0.00207977
   342  -0.84051808   0.54178350  -0.83943390   0.54346180   0.00199803
   343  -0.96308556   0.26919547  -0.96256758   0.27104181   0.00191762
   344  -0.99962348  -0.02743899  -0.99967224  -0.02560103   0.00183860
